Reference, Quantity, Total,Value, Referencia Fabricante, Referencia Proveedor #2,,,
C1 C11 C7 C9 ,4,40,100nF,80-C0603X104K5R,1414028,,,
C2 C4 ,2,20,18pF,CBR06C180FAGAC,2676279,,,
C3 C5 ,2,20,1uF,C0603X5R0J105M030BC,2524945,,,
C10 C12 C13 C6 C8 ,5,50,10nF,C0603X103F5JACTU,2579110,,,
D1 D2 ,2,20,LED,VLMS1300-GS08,2251484,,,
D3 D5 ,2,20,ZENER,MMSZ5223BT1G,2463576,,,
D4 ,1,10,ZENER,BZT52C3V3S-7-F,1843704,,,
P1 P3 P4 ,3,30,CONN_01X05,960105-6202-AR,2672610,,,
P2 ,1,10,CONN_01X04,960104-6202-AR,2672609,,,
R1 R2 ,2,20,470,RT0603FRE07470RL,1500635,,,
R10 ,1,10,R,ERJ3EKF2002V,2059432,,,
R3 R5 ,2,20,4K7,TNPW06034K75BEEA,1893941,,,
R4 ,1,10,6,756-PCF0603R-6K19BT1,2059387,,,
R13 R6 ,2,20,10K,Value,1469748,,,
R7 ,1,4,40,PANASONIC,1160352,,,
R8 ,1,6,60,VISHAY,2059481,,,
R11 R12 R9 ,3,30,1K,WCR0603-1K0FI,9238484,,,
SP1 ,1,10,SPEAKER,ABI-050-RC,2534976,,,
U1 ,1,10,MAX6369,MAX6369KA+T,2519138,,,
U2 ,1,10,TC1262-30VDB,TC1262-3.VBD,1852181,,,
U3 ,1,10,DS18B20,DS18B20U+,2518694,,,
U4 ,1,10,PIC18F45K22,PIC18F45K22-I/PT,1840995,,,
U5 ,1,10,LT6005,LT6005IGN#PBF,1432099,,,
Y1 ,1,10,Crystal,AB-2.000MHZ-B2,1611769,,,
